店舗名,都道府県,エリア,サムネイル,スケジュール,公式URL,セラピスト
メンズエステ Cucue (きゅきゅ),愛知県,千種区,なし,なし,あり,なし
M Spa (エムスパ),愛知県,千種区,なし,なし,あり,なし
メンズエステ Cucue (きゅきゅ),愛知県,伏見,なし,なし,あり,なし
M Spa (エムスパ),愛知県,伏見,なし,なし,あり,なし
Mrs Crystal (ミセスクリスタル) 名古屋,愛知県,伏見,なし,なし,あり,なし
Number9 (ナンバーナイン),愛知県,伏見,なし,なし,あり,なし
RESEXY (リゼクシー) 栄,愛知県,伏見,なし,なし,あり,なし
ゆりかご FC名古屋,愛知県,伏見,なし,なし,あり,なし
ゆりかご FC名古屋,愛知県,岐阜,なし,なし,あり,なし
チャンス 名古屋 (旧フラワー),愛知県,久屋大通,なし,なし,あり,なし
M Spa (エムスパ),愛知県,久屋大通,なし,なし,あり,なし
Spur Luxury (シュプールラグジュアリー),愛知県,久屋大通,なし,なし,あり,なし
MADAME聖子 (マダムセイコ),愛知県,一宮,なし,なし,あり,なし
メンズエステ一宮,愛知県,一宮,なし,なし,あり,なし
ゆりかご FC名古屋,愛知県,一宮,なし,なし,あり,なし
Mrs Crystal (ミセスクリスタル) 名古屋,愛知県,一宮本町,なし,なし,あり,なし
Mrs Crystal (ミセスクリスタル) 名古屋,愛知県,一宮駅前,なし,なし,あり,なし
メンズエステ Cucue (きゅきゅ),愛知県,今池,なし,なし,あり,なし
Mrs Crystal (ミセスクリスタル) 名古屋,愛知県,今池,なし,なし,あり,なし
タイガーアイ (旧タイガー),愛知県,今池,なし,なし,あり,なし
ゆりかご FC名古屋,愛知県,今池,なし,なし,あり,なし
Aroma Terrace (アロマテラス) 名古屋,愛知県,泉,なし,なし,あり,なし
ENCORE (アンコール),愛知県,泉,なし,なし,あり,なし
タイガーアイ (旧タイガー),愛知県,泉,なし,なし,あり,なし
メンズエステ Cucue (きゅきゅ),愛知県,金山,なし,なし,あり,なし
MADAME聖子 (マダムセイコ),愛知県,金山,なし,なし,あり,なし
マジセラ (旧ワタセラ),愛知県,金山,なし,なし,あり,なし
Mrs Crystal (ミセスクリスタル) 名古屋,愛知県,金山,なし,なし,あり,なし
Number9 (ナンバーナイン),愛知県,金山,なし,なし,あり,なし
RESEXY (リゼクシー) 栄,愛知県,金山,なし,なし,あり,なし
ゆりかご FC名古屋,愛知県,金山,なし,なし,あり,なし
ゆりかご FC名古屋,愛知県,刈谷,なし,なし,あり,なし
チャンス 名古屋 (旧フラワー),愛知県,国際センター,なし,なし,あり,なし
Aroma Terrace (アロマテラス) 名古屋,愛知県,丸の内,なし,なし,あり,なし
チャンス 名古屋 (旧フラワー),愛知県,丸の内,なし,なし,あり,なし
M Spa (エムスパ),愛知県,丸の内,なし,なし,あり,なし
Marigold (マリーゴールド),愛知県,丸の内,なし,なし,あり,なし
Mrs Crystal (ミセスクリスタル) 名古屋,愛知県,丸の内,なし,なし,あり,なし
RESEXY (リゼクシー) 栄,愛知県,丸の内,なし,なし,あり,なし
Spur Luxury (シュプールラグジュアリー),愛知県,丸の内,なし,なし,あり,なし
タイガーアイ (旧タイガー),愛知県,丸の内,なし,なし,あり,なし
ゆりかご FC名古屋,愛知県,丸の内,なし,なし,あり,なし
century (センチュリー),愛知県,名駅,なし,なし,あり,なし
チャンス 名古屋 (旧フラワー),愛知県,名駅,なし,なし,あり,なし
メンズエステ Cucue (きゅきゅ),愛知県,名駅,なし,なし,あり,なし
ENCORE (アンコール),愛知県,名駅,なし,なし,あり,なし
Galaxy-NAGOYA (ギャラクシーナゴヤ),愛知県,名駅,なし,なし,あり,なし
GOLDEN ROSE (ゴールデンローズ),愛知県,名駅,なし,なし,あり,なし
M Spa (エムスパ),愛知県,名駅,なし,なし,あり,なし
milk repos (ミルクルポ),愛知県,名駅,なし,なし,あり,なし
Spur Luxury (シュプールラグジュアリー),愛知県,名駅,なし,なし,あり,なし
Mrs Crystal (ミセスクリスタル) 名古屋,愛知県,名駅南,なし,なし,あり,なし
タイガーアイ (旧タイガー),愛知県,名駅南,なし,なし,あり,なし
Mrs Crystal (ミセスクリスタル) 名古屋,愛知県,那古野,なし,なし,あり,なし
THE BLANC (ザブラン),愛知県,名古屋,なし,なし,あり,なし
Aroma Terrace (アロマテラス) 名古屋,愛知県,錦,なし,なし,あり,なし
M Spa (エムスパ),愛知県,錦,なし,なし,あり,なし
Marigold (マリーゴールド),愛知県,錦,なし,なし,あり,なし
Aroma Terrace (アロマテラス) 名古屋,愛知県,則武,なし,なし,あり,なし
チャンス 名古屋 (旧フラワー),愛知県,大須,なし,なし,あり,なし
タイガーアイ (旧タイガー),愛知県,大須,なし,なし,あり,なし
Tororich (とろリッチ),愛知県,大須,なし,なし,あり,なし
Aroma Terrace (アロマテラス) 名古屋,愛知県,栄,なし,なし,あり,なし
Aromana (アロマーナ),愛知県,栄,なし,なし,あり,なし
CAMPBELL (キャンベル),愛知県,栄,なし,なし,あり,なし
century (センチュリー),愛知県,栄,なし,なし,あり,なし
チャンス 名古屋 (旧フラワー),愛知県,栄,なし,なし,あり,なし
メンズエステ Cucue (きゅきゅ),愛知県,栄,なし,なし,あり,なし
GOLDEN ROSE (ゴールデンローズ),愛知県,栄,なし,なし,あり,なし
M Spa (エムスパ),愛知県,栄,なし,なし,あり,なし
RESEXY (リゼクシー) 栄,愛知県,栄,なし,なし,あり,なし
RICH AROMA (リッチアロマ),愛知県,栄,なし,なし,あり,なし
Spur Luxury (シュプールラグジュアリー),愛知県,栄,なし,なし,あり,なし
VENIRE (ヴェニーレ),愛知県,栄,なし,なし,あり,なし
MADAME聖子 (マダムセイコ),愛知県,新栄,なし,なし,あり,なし
マジセラ (旧ワタセラ),愛知県,新栄,なし,なし,あり,なし
VENIRE (ヴェニーレ),愛知県,新栄,なし,なし,あり,なし
century (センチュリー),愛知県,高岡,なし,なし,あり,なし
チャンス 名古屋 (旧フラワー),愛知県,高岡,なし,なし,あり,なし
ENCORE (アンコール),愛知県,高岡,なし,なし,あり,なし
GOLDEN ROSE (ゴールデンローズ),愛知県,高岡,なし,なし,あり,なし
Marigold (マリーゴールド),愛知県,高岡,なし,なし,あり,なし
Mrs Crystal (ミセスクリスタル) 名古屋,愛知県,高岡,なし,なし,あり,なし
Mrs Crystal (ミセスクリスタル) 名古屋,愛知県,鶴舞,なし,なし,あり,なし
Aroma Terrace (アロマテラス) 名古屋,愛知県,矢場町,なし,なし,あり,なし
Marigold (マリーゴールド),愛知県,矢場町,なし,なし,あり,なし
ゆりかご FC名古屋,愛知県,矢場町,なし,なし,あり,なし
メンズエステ Lynx 千葉店,千葉県,千葉県,あり,なし,なし,なし
MadameRest (マダムレスト),千葉県,千葉県,なし,なし,あり,なし
AROMA CHARIS (アロマカリス),千葉県,船橋,なし,なし,あり,なし
美吟 (ビギン) 船橋店,千葉県,船橋,なし,なし,あり,なし
Limited Spa (リミテッドスパ),千葉県,船橋,なし,なし,あり,なし
メンズエステ Lynx 船橋店,千葉県,船橋,あり,なし,なし,なし
M～second～ (エムセカンド),千葉県,船橋,なし,なし,あり,なし
Limited Spa (リミテッドスパ),千葉県,西船橋,なし,なし,あり,なし
メンズエステ Lynx 西船橋店,千葉県,西船橋,あり,なし,なし,なし
Limited Spa (リミテッドスパ),千葉県,柏,なし,なし,あり,なし
LUANA (ルアナ) 柏,千葉県,柏,なし,なし,あり,なし
ささやき (旧ラビット),千葉県,柏,なし,なし,あり,なし
神のエステ 柏・松戸店,千葉県,松戸,なし,なし,あり,なし
メンズエステ Lynx 松戸店,千葉県,松戸,あり,なし,なし,なし
超レベチなエステ24,千葉県,成田,なし,なし,あり,なし
AROMA CHARIS (アロマカリス),千葉県,西船橋,なし,なし,あり,なし
美吟 (ビギン) 船橋店,千葉県,西船橋,なし,なし,あり,なし
超レベチなエステ24,千葉県,東金,なし,なし,あり,なし
アロマギルド 津田沼,千葉県,津田沼,なし,なし,あり,なし
ゆりかご 京都,福井県,tsuruga,なし,なし,あり,なし
Feerique (フェリーク) 福岡,福岡県,博多,なし,なし,あり,なし
メンズアロマ博多人妻さん,福岡県,博多,なし,なし,あり,なし
Lion Heart (ライオンハート) 福岡,福岡県,博多,なし,なし,あり,なし
MOTHERS (マザーズ),福岡県,博多,なし,なし,あり,なし
Request (リクエスト),福岡県,博多,なし,なし,あり,なし
ピンキーグラッツェ小倉,福岡県,小倉,なし,なし,あり,なし
MOTHERS (マザーズ),福岡県,久留米,なし,なし,あり,なし
Kobe Eslino (神戸エスリノ),兵庫県,旭通,なし,なし,あり,なし
Mrs.melty (ミセスメルティー),兵庫県,姫路,なし,なし,あり,なし
Kobe Eslino (神戸エスリノ),兵庫県,加納町,なし,なし,あり,なし
ミセスムーンR 兵庫,兵庫県,神戸,なし,なし,あり,なし
MRS.TENOR (ミセステノール),兵庫県,元町,なし,なし,あり,なし
Kobe Eslino (神戸エスリノ),兵庫県,二宮,なし,なし,あり,なし
10ct RESORT (テンカラットリゾート),兵庫県,三宮,なし,なし,あり,なし
KOBE QUEEN (コウベクイーン),兵庫県,三宮,なし,なし,あり,なし
lemonade (レモネード) 神戸,兵庫県,三宮,なし,なし,あり,なし
Mrs.melty (ミセスメルティー),兵庫県,三宮,なし,なし,あり,なし
MRS.TENOR (ミセステノール),兵庫県,三宮,なし,なし,あり,なし
doigt de fee (ドゥワドフェ),神奈川県,本厚木,なし,なし,あり,なし
ラビットスパ (Rabbit Spa) 横浜店,神奈川県,厚木,なし,なし,あり,なし
THE BLANC (ザブラン),神奈川県,海老名,なし,なし,あり,なし
Guarigione (グアリジョーネ),神奈川県,藤沢,なし,なし,あり,なし
リオラ (旧マリラ),神奈川県,藤沢,なし,なし,あり,なし
Pepe Spa (ペペスパ),神奈川県,藤沢,なし,なし,あり,なし
オトナコード4030 (旧オトナクチュール),神奈川県,本厚木,なし,なし,あり,なし
レッドアイ (Red Eye),神奈川県,稲田堤,なし,なし,あり,なし
ラビットスパ (Rabbit Spa) 横浜店,神奈川県,伊勢佐木,なし,なし,あり,なし
ラビットスパ (Rabbit Spa) 横浜店,神奈川県,伊勢佐木町,なし,なし,あり,なし
オトナコード4030 (旧オトナクチュール),神奈川県,上大岡,なし,なし,あり,なし
Guarigione (グアリジョーネ),神奈川県,関内,なし,なし,あり,なし
リオラ (旧マリラ),神奈川県,関内,なし,なし,あり,なし
オトナコード4030 (旧オトナクチュール),神奈川県,関内,なし,なし,あり,なし
ラビットスパ (Rabbit Spa) 横浜店,神奈川県,関内,なし,なし,あり,なし
THE BLANC (ザブラン),神奈川県,関内,なし,なし,あり,なし
ゆるスパ横浜店,神奈川県,関内,なし,なし,あり,なし
アプローチ 川崎店 (旧らんぷ新川崎),神奈川県,川崎,なし,なし,あり,なし
DEEP ESSENTIAL (ディープエッセンシャル) 川崎,神奈川県,川崎,なし,なし,あり,なし
Fromage (フロマージュ),神奈川県,川崎,なし,なし,あり,なし
GOLD (ゴールド) 川崎・溝の口,神奈川県,川崎,なし,なし,あり,なし
Guarigione (グアリジョーネ),神奈川県,川崎,なし,なし,あり,なし
doigt de fee (ドゥワドフェ),神奈川県,川崎,なし,なし,あり,なし
LIVSPA (リブスパ),神奈川県,川崎,なし,なし,あり,なし
doigt de fee (ドゥワドフェ),神奈川県,溝の口,なし,なし,あり,なし
Jesse (ジェシー 溝の口店),神奈川県,溝の口,なし,なし,あり,なし
doigt de fee (ドゥワドフェ),神奈川県,向ヶ丘遊園,なし,なし,あり,なし
Aroma ELLA (アロマエラ 武蔵小杉店),神奈川県,武蔵小杉,なし,なし,あり,なし
doigt de fee (ドゥワドフェ),神奈川県,武蔵小杉,なし,なし,あり,なし
Ho・O・Zu・Ki・SPA (ホオズキスパ),神奈川県,武蔵小杉,なし,なし,あり,なし
Jesse (ジェシー 武蔵小杉店),神奈川県,武蔵小杉,なし,なし,あり,なし
doigt de fee (ドゥワドフェ),神奈川県,登戸,なし,なし,あり,なし
Jesse (ジェシー 登戸店),神奈川県,登戸,なし,なし,あり,なし
RERE GROUP (リリグループ),神奈川県,川崎,なし,なし,あり,なし
川崎メンズエステ RiRe (リル),神奈川県,川崎,なし,なし,あり,なし
GOLD (ゴールド) 川崎・溝の口,神奈川県,溝の口,なし,なし,あり,なし
レッドアイ (Red Eye),神奈川県,向ヶ丘遊園,なし,なし,あり,なし
Agu (アグ) 武蔵小杉,神奈川県,武蔵小杉,なし,なし,あり,なし
Aroma ELLA (アロマエラ),神奈川県,武蔵小杉,なし,なし,あり,なし
ベッドオブローゼス（Bed of Roses） 旧スリーピングシープ,神奈川県,武蔵小杉,なし,なし,あり,なし
ラビットスパ (Rabbit Spa) 横浜店,神奈川県,武蔵小杉,なし,なし,あり,なし
RERE GROUP (リリグループ),神奈川県,武蔵小杉,なし,なし,あり,なし
武蔵小杉 ROYCE (ロイス),神奈川県,武蔵小杉,なし,なし,あり,なし
レッドアイ (Red Eye),神奈川県,登戸,なし,なし,あり,なし
ラビットスパ (Rabbit Spa) 横浜店,神奈川県,野毛町,なし,なし,あり,なし
Luxury Romance GROUP (ラグジュアリーロマンスグループ),神奈川県,淵野辺,なし,なし,あり,なし
Luxury Romance GROUP (ラグジュアリーロマンスグループ),神奈川県,相模原,なし,なし,あり,なし
ユニゾンスパ (相模原店),神奈川県,相模原,なし,なし,あり,なし
Guarigione (グアリジョーネ),神奈川県,桜木町,なし,なし,あり,なし
ゆるスパ横浜店,神奈川県,新横浜,なし,なし,あり,なし
レッドアイ (Red Eye),神奈川県,新百合ヶ丘,なし,なし,あり,なし
RERE GROUP (リリグループ),神奈川県,戸塚,なし,なし,あり,なし
Marine (マリン) 横浜,神奈川県,綱島,なし,なし,あり,なし
Guarigione (グアリジョーネ),神奈川県,横浜,なし,なし,あり,なし
メンズエステ Lynx 横浜関内店,神奈川県,関内,あり,なし,なし,なし
リオラ (旧マリラ),神奈川県,横浜,なし,なし,あり,なし
オトナコード4030 (旧オトナクチュール),神奈川県,横浜,なし,なし,あり,なし
ラビットスパ (Rabbit Spa) 横浜店,神奈川県,横浜,なし,なし,あり,なし
THE BLANC (ザブラン),神奈川県,横浜,なし,なし,あり,なし
ワイプライム (旧ワイプラ),神奈川県,横浜,なし,なし,あり,なし
Pure White (ピュアホワイト),京都府,大宮,なし,なし,あり,なし
Pure White (ピュアホワイト),京都府,京都駅,なし,なし,あり,なし
クイーンズプレミアム 旧グラマー,京都府,京都駅,なし,なし,あり,なし
ゆりかご 京都,京都府,京都駅,なし,なし,あり,なし
Pure White (ピュアホワイト),京都府,二条,なし,なし,あり,なし
Pure White (ピュアホワイト),京都府,千本三条,なし,なし,あり,なし
ゆりかご 京都,京都府,四条西洞院,なし,なし,あり,なし
ARENA SPA (アリーナスパ),宮城県,仙台,なし,なし,あり,なし
AROMA No5 (アロマファイブ) 仙台,宮城県,仙台,なし,なし,あり,なし
Aroma Rich (アロマリッチ) 仙台,宮城県,仙台,なし,なし,あり,なし
Cuaura (クオーラ),宮城県,仙台,なし,なし,あり,なし
ONE time (ワンタイム),宮城県,仙台,なし,なし,あり,なし
Platonic SPA (プラトニックスパ),宮城県,仙台,なし,なし,あり,なし
Pulunt (プルント),宮城県,仙台,なし,なし,あり,なし
SHIZUKU SPA (雫スパ),宮城県,仙台,なし,なし,あり,なし
美魔女セラピー大阪,大阪府,阿波座,なし,なし,あり,なし
セレブスパプレミアム,大阪府,出張,なし,なし,あり,なし
原価屋,大阪府,出張,なし,なし,あり,なし
ダーリンプレミアム,大阪府,堂山,なし,なし,あり,なし
La vie et (ラヴィエ),大阪府,堂山,なし,なし,あり,なし
もくきん堂,大阪府,江坂,なし,なし,あり,なし
もくきん堂,大阪府,東三国,なし,なし,あり,なし
感謝 旧愛燦燦,大阪府,肥後橋,なし,なし,あり,なし
ベルマドンナ (旧ベラドンナ),大阪府,十三,なし,なし,あり,なし
セレブスパプレミアム,大阪府,十三,なし,なし,あり,なし
ミセスの子守唄,大阪府,十三,なし,なし,あり,なし
もくきん堂,大阪府,十三,なし,なし,あり,なし
僕のママスパ,大阪府,十三,なし,なし,あり,なし
スーパーハッピーガールズ (SUPER HAPPY GIRLS),大阪府,十三,なし,なし,あり,なし
タマネギ 大阪,大阪府,十三,なし,なし,あり,なし
和いふらいん 大阪,大阪府,十三,なし,なし,あり,なし
和いふらいん 大阪,大阪府,十三,なし,なし,あり,なし
感謝 旧愛燦燦,大阪府,北浜,なし,なし,あり,なし
ビューティーアンドビースト,大阪府,北新地,なし,なし,あり,なし
ダーリンプレミアム,大阪府,北新地,なし,なし,あり,なし
La vie et (ラヴィエ),大阪府,北新地,なし,なし,あり,なし
ムフフフットケアセンター,大阪府,北新地,なし,なし,あり,なし
ベルマドンナ (旧ベラドンナ),大阪府,京橋,なし,なし,あり,なし
うさぎのお部屋,大阪府,京橋,なし,なし,あり,なし
セレブスパプレミアム,大阪府,京橋,なし,なし,あり,なし
DSP,大阪府,京橋,なし,なし,あり,なし
FIRST CLASS (ファーストクラス) 大阪,大阪府,京橋,なし,なし,あり,なし
Furyu 風流 (フウリュウ),大阪府,京橋,なし,なし,あり,なし
隠れ家~大人の癒し空間~,大阪府,京橋,なし,なし,あり,なし
綺麗なサロン,大阪府,京橋,なし,なし,あり,なし
マ・ジ・メSPA（マジメスパ）,大阪府,京橋,なし,なし,あり,なし
DSP,大阪府,松屋町,なし,なし,あり,なし
LIRICA OSAKA (リリカ大阪),大阪府,松屋町,なし,なし,あり,なし
美魔女セラピー大阪,大阪府,南森町,なし,なし,あり,なし
隠れ家~大人の癒し空間~,大阪府,南森町,なし,なし,あり,なし
感謝 旧愛燦燦,大阪府,南森町,なし,なし,あり,なし
FROG SPA (フロッグスパ),大阪府,南船場,なし,なし,あり,なし
Skit (スキット),大阪府,南船場,なし,なし,あり,なし
ミセスあまおうセラピ 旧ミセスマドンナ,大阪府,長堀橋,なし,なし,あり,なし
美魔女セラピー大阪,大阪府,長堀橋,なし,なし,あり,なし
綺麗なサロン,大阪府,長堀橋,なし,なし,あり,なし
Queen Spumante (クイーンスプマンテ),大阪府,長堀橋,なし,なし,あり,なし
FIRST CLASS (ファーストクラス) 大阪,大阪府,長堀橋・松屋町,松屋町,なし,なし,あり,なし
DSP,大阪府,難波,なし,なし,あり,なし
FIRST CLASS (ファーストクラス) 大阪,大阪府,難波,なし,なし,あり,なし
LEON SPA Gold (レオンスパゴールド),大阪府,難波,なし,なし,あり,なし
ミセス美オーラ,大阪府,難波,なし,なし,あり,なし
ミセスあまおうセラピ 旧ミセスマドンナ,大阪府,日本橋,なし,なし,あり,なし
アロマワン,大阪府,日本橋,なし,なし,あり,なし
ベルマドンナ (旧ベラドンナ),大阪府,日本橋,なし,なし,あり,なし
美魔女セラピー大阪,大阪府,日本橋,なし,なし,あり,なし
うさぎのお部屋,大阪府,日本橋,なし,なし,あり,なし
セレブスパプレミアム,大阪府,日本橋,なし,なし,あり,なし
C.r.e.a.m (クリーム),大阪府,日本橋,なし,なし,あり,なし
DSP,大阪府,日本橋,なし,なし,あり,なし
イーエスドールプレミアム,大阪府,日本橋,なし,なし,あり,なし
FIRST CLASS (ファーストクラス) 大阪,大阪府,日本橋,なし,なし,あり,なし
マダムと紳士,大阪府,日本橋,なし,なし,あり,なし
マ・ジ・メSPA（マジメスパ）,大阪府,日本橋,なし,なし,あり,なし
milk tea (ミルクティー),大阪府,日本橋,なし,なし,あり,なし
ミセスムーンR 大阪,大阪府,日本橋,なし,なし,あり,なし
俺の家,大阪府,日本橋,なし,なし,あり,なし
Sanando (サナンド),大阪府,日本橋,なし,なし,あり,なし
Skit (スキット),大阪府,日本橋,なし,なし,あり,なし
SEACRET ROOM ひまわり,大阪府,日本橋,なし,なし,あり,なし
スーパーハッピーガールズ (SUPER HAPPY GIRLS),大阪府,日本橋,なし,なし,あり,なし
天上人PREMIUM,大阪府,日本橋,なし,なし,あり,なし
ベルマドンナ (旧ベラドンナ),大阪府,西中島,なし,なし,あり,なし
セレブスパプレミアム,大阪府,西中島,なし,なし,あり,なし
もくきん堂,大阪府,西中島,なし,なし,あり,なし
ベルマドンナ (旧ベラドンナ),大阪府,堺東,なし,なし,あり,なし
うさぎのお部屋,大阪府,堺東,なし,なし,あり,なし
セレブスパプレミアム,大阪府,堺東,なし,なし,あり,なし
ミセスの子守唄,大阪府,堺東,なし,なし,あり,なし
LEON SPA (レオンスパ),大阪府,堺東,なし,なし,あり,なし
LEON SPA Gold (レオンスパゴールド),大阪府,堺東,なし,なし,あり,なし
ミセスムーンR 大阪,大阪府,堺東,なし,なし,あり,なし
SEACRET ROOM ひまわり,大阪府,堺東,なし,なし,あり,なし
ミセスあまおうセラピ 旧ミセスマドンナ,大阪府,堺筋本町,なし,なし,あり,なし
ベルマドンナ (旧ベラドンナ),大阪府,堺筋本町,なし,なし,あり,なし
美魔女セラピー大阪,大阪府,堺筋本町,なし,なし,あり,なし
セレブスパプレミアム,大阪府,堺筋本町,なし,なし,あり,なし
C.r.e.a.m (クリーム),大阪府,堺筋本町,なし,なし,あり,なし
DSP,大阪府,堺筋本町,なし,なし,あり,なし
イーエスドールプレミアム,大阪府,堺筋本町,なし,なし,あり,なし
