id,name,area
tokyo_adachi_kitasenju_himitsu_mrs_room,秘密のミセスルーム 北千住,北千住
tokyo_adachi_kitasenju_macherie,マシェリ,北千住
tokyo_adachi_kitasenju_muchispa_room,むちすぱルーム 北千住,北千住
tokyo_adachi_kitasenju_ranpu_kitasenju,らんぷ 北千住,北千住
tokyo_adachi_kitasenju_remis,ランス (REMIS) 旧ニルス,北千住
tokyo_adachi_takenotsuka_aroma_banker,Aroma BANKER (アロマバンカー),竹ノ塚
tokyo_adachi_ushida_ranpu_kitasenju,らんぷ 北千住,牛田
tokyo_arakawa_nippori_aroma_giraffe,アロマジラフ 旧アロマオリオ,日暮里
tokyo_arakawa_nippori_deep_black,Deep Black (ディープブラック),日暮里
tokyo_chiyoda_akihabara_ar_tokyo,ar Tokyo (アールトウキョウ秋葉原),秋葉原
tokyo_chiyoda_akihabara_aroma_amour,AROMA AMOUR (秋葉原店),秋葉原
tokyo_chiyoda_akihabara_aroma_lunabelle_akihabara,Aroma Lunabelle (アロマルナベール秋葉原),秋葉原
tokyo_chiyoda_akihabara_aroma_rejina,Aroma Rejina 秋葉原 (アロマレジーナ),秋葉原
tokyo_chiyoda_akihabara_assouplir,Assouplir (アスプリー秋葉原店),秋葉原
tokyo_chiyoda_akihabara_prispa,Prispa (プリスパ),秋葉原
tokyo_chiyoda_akihabara_rex,Rex (レックス秋葉原店),秋葉原
tokyo_chiyoda_akihabara_the_salon,The Salon (ザ・サロン秋葉原店),秋葉原
tokyo_chiyoda_akihabara_weal,Weal (ウィール秋葉原店),秋葉原
tokyo_chiyoda_iwamotocho_kami_no_esthe,神のエステ (東京・岩本町店),岩本町
tokyo_chiyoda_jimbocho_queens_collection,QUEEN'S COLLECTION 神保町ルーム,神保町
tokyo_chiyoda_kanda_chill_spa,Chill Spa (ちるスパ),神田
tokyo_chiyoda_kanda_kami_no_esthe,神のエステ (東京・神田店),神田
tokyo_chiyoda_kudanshita_rondo,ロンド 旧下弦の月 (九段下店),九段下
tokyo_chiyoda_yotsuya_e_komachi,四ツ谷メンズエステ E小町 四谷店,四谷
tokyo_chofu_aroma_ella,Aroma ELLA (アロマエラ 調布店),調布
tokyo_chofu_jesse,Jesse (ジェシー 調布店),調布
tokyo_chofu_kami_chofu,神のエステ (調布店),調布
tokyo_chofu_trendy_spa,TRENDY SPA (調布店),調布
tokyo_chofu_unison_spa,ユニゾンスパ (調布店),調布
tokyo_chuo_ginza_aroma_amour,AROMA AMOUR (銀座店),銀座
tokyo_chuo_ginza_ginza_rich,Ginza Rich (銀座リッチ),銀座
tokyo_chuo_ginza_kami_no_esthe_shinbashi,神のエステ 新橋・銀座新富町店 (銀座),銀座
tokyo_chuo_ginza_otonaspa,大人のやすらぎSPA (銀座店),銀座
tokyo_chuo_ginza_rondo,ロンド 旧下弦の月 (銀座店),銀座
tokyo_chuo_ginza_ryugujo,竜宮城 旧百万石 (銀座店),銀座
tokyo_chuo_nihonbashi_berryz_spa,Berryz Spa (ベリーズスパ),日本橋
tokyo_chuo_nihonbashi_kami_no_esthe,神のエステ (東京・日本橋店),日本橋
tokyo_chuo_nihonbashi_urekaji_nihonbashi,熟れた果実,日本橋
tokyo_chuo_ningyocho_ryugujo,竜宮城 旧百万石 (人形町店),人形町
tokyo_dispatch_aqua_premium,AQUA PREMIUM (アクアプレミアム),23wards
tokyo_dispatch_because,ビコーズ (旧リオン),23wards
tokyo_dispatch_candy_spa,Candy Spa (キャンディスパ),23wards
tokyo_dispatch_hananoame,花の雨リラクゼーション,23wards
tokyo_dispatch_jukujo_tokyo,熟女東京,23wards
tokyo_dispatch_the_aroma,ザ アロマ (The Aroma),23wards
tokyo_dispatch_outside_no_brand,No Brand (ノーブランド),23区外,その他
tokyo_fuchu_aroma_ella,Aroma ELLA (アロマエラ 府中店),府中
tokyo_fuchu_kami_chofu,神のエステ (府中店),府中
tokyo_fuchu_luxury_romance,Luxury Romance GROUP (ラグジュアリーロマンスグループ),府中
tokyo_fuchu_syalulu,シャルル (旧ディープ府中),府中
tokyo_hachioji_rabbit_spa,ラビットスパ (Rabbit Spa) 立川店,八王子市
tokyo_hachioji_rere,RERE GROUP (リリグループ),八王子市
tokyo_kita_alice,Alice (アリス) 赤羽,
tokyo_kita_crest_spa_tokyo,CREST SPA TOKYO (クレストスパ),
tokyo_kita_lamp_akabane,らんぷ 赤羽店,
tokyo_kita_yorimichi,よりみち (Yorimichi) (旧いごこち),
tokyo_koganei_west_tokyo,WEST TOKYO (旧結有),小金井
tokyo_kokubunji_aroma_ella,Aroma ELLA (アロマエラ 国分寺店),
tokyo_kokubunji_esthe_bijin_madam,エステ美人マダム 三鷹店,国分寺
tokyo_kokubunji_west_tokyo,WEST TOKYO (旧結有),
tokyo_koto_kameido_muchispa_room,むちすぱルーム 亀戸,亀戸
tokyo_koto_monzennakacho_rondo,ロンド 旧下弦の月 (門前仲町店),門前仲町
tokyo_koto_monzennakacho_ryugujo,竜宮城 旧百万石 (門前仲町店),門前仲町
tokyo_machida_rere,RERE GROUP (リリグループ),
tokyo_meguro_gakugei_daigaku_tokyo_esthe_club,東京えすてクラブ,学芸大学
tokyo_meguro_jiyugaoka_doigt_de_fee,doigt de fee (ドゥワドフェ),自由が丘
tokyo_meguro_jiyugaoka_mens_esthe_group,メンエスグループ,自由が丘
tokyo_meguro_meguro_grace,GRACE (グレース),目黒
tokyo_meguro_meguro_mens_esthe_group,メンエスグループ,目黒
tokyo_meguro_meguro_teacher_secret,女教師の秘め事,目黒
60231,Aroma Blossom (アロマブロッサム),中目黒
tokyo_meguro_nakameguro_grace,GRACE (グレース),中目黒
60230,LINDA SPA (中目黒店),中目黒
60216,わたしのおうち,祐天寺
tokyo_minato_akasaka_kami_no_esthe,神のエステ 赤坂店,赤坂
tokyo_minato_akasaka_the_salon,The Salon (ザ・サロン赤坂店),赤坂
tokyo_minato_azabujuban_edel,EDEL AZABU (エデル麻布),麻布十番
tokyo_minato_azabujuban_kami_no_esthe,神のエステ (Kami no Esthe),麻布十番
tokyo_minato_azabujuban_lunabelle,Aroma Lunabelle (麻布十番店),麻布十番
tokyo_minato_azabujuban_roppongi_mens,六本木メンズエステ,麻布十番
60211,Aroma Blossom (広尾店),広尾
60210,Aroma Blossom (港区・中目黒),
60209,NATURAL (六本木店),六本木,六本木
tokyo_minato_roppongi_roppongi_mens,六本木メンズエステ,六本木
tokyo_minato_shinbashi_kami_no_esthe_shinbashi,神のエステ 新橋・銀座新富町店 (新橋),新橋
tokyo_minato_shinbashi_lunabelle,Aroma Lunabelle (新橋店),新橋
tokyo_minato_shinbashi_the_salon,The Salon (ザ・サロン新橋店),新橋
60212,Aroma Blossom (田町店),田町
tokyo_minato_tamachi_edel,EDEL AZABU (エデル麻布),田町
tokyo_mitaka_aroma_ella,Aroma ELLA (アロマエラ 三鷹店),三鷹
tokyo_mitaka_esthe_bijin_madam,エステ美人マダム 三鷹店,三鷹
tokyo_musashino_kichijoji_aroma_charmant,Aroma charmant (アロマシャルマント),吉祥寺
tokyo_musashino_kichijoji_esthe_bijin_madam,エステ美人マダム 三鷹店,吉祥寺
tokyo_musashino_kichijoji_kami_kichijoji,神のエステ 吉祥寺店,吉祥寺
tokyo_musashino_kichijoji_yorimichi,よりみち (Yorimichi) (旧いごこち),吉祥寺
tokyo_nakano_golden,ゴールデン（GOLDEN） 旧ガーデン,中野区
tokyo_nakano_levechi_esthe,超レベチなエステ24,中野区
tokyo_nakano_red_ribbon,RED RIBBON (レッドリボン),中野区
tokyo_nerima_nerima_around_forty,アラウンドフォーティー,練馬
tokyo_nerima_nerima_cannele,Cannele (カヌレ),練馬
tokyo_nerima_nerima_kami_no_esthe_nerima,神のエステ 練馬店,練馬
tokyo_nerima_nerima_mens_esthe_group,メンエスグループ,練馬
tokyo_nerima_nerima_xenispa,ゼニスパ,練馬
tokyo_nerima_oizumigakuen_select,セレクト (SELECT),大泉学園
tokyo_ota_kamata_anjuaile,Anjuaile (アンジュエール),蒲田
tokyo_ota_kamata_doigt_de_fee,doigt de fee (ドゥワドフェ),蒲田
tokyo_ota_kamata_gokujou,GOKUJOU 極嬢,蒲田
tokyo_ota_kamata_hoozuki,Ho・O・Zu・Ki・SPA (ホオズキスパ),蒲田
tokyo_ota_kamata_livspa,LIVSPA (リブスパ),蒲田
tokyo_ota_kamata_pepe_spa,Pepe Spa (ペペスパ),蒲田
tokyo_ota_kamata_ryugujo,竜宮城 旧百万石 (蒲田店),蒲田
tokyo_ota_omori_gokujou,GOKUJOU 極嬢,大森
tokyo_ota_omori_hoozuki,Ho・O・Zu・Ki・SPA (ホオズキスパ),大森
tokyo_setagaya_chitose_karasuyama_reve_spa,REVE SPA (レーヴスパ),千歳烏山
tokyo_setagaya_chitose_karasuyama_unison_spa,ユニゾンスパ (千歳烏山店),千歳烏山
tokyo_setagaya_chitose_karasuyama_winning_heaven,WINNING HEAVEN (ウイニングヘブン),千歳烏山
tokyo_setagaya_futakotamagawa_jesse,Jesse (ジェシー 二子玉川店),二子玉川
tokyo_setagaya_futakotamagawa_menes_group,メンエスグループ 二子玉川,二子玉川
tokyo_setagaya_futakotamagawa_mens_esthe_group,メンエスグループ,二子玉川
tokyo_setagaya_komazawa_daigaku_tokyo_esthe_club,東京えすてクラブ,駒沢大学
60204,Eren (経堂ルーム),経堂
tokyo_setagaya_kyodo_winning_heaven,WINNING HEAVEN (ウイニングヘブン),経堂
tokyo_setagaya_meidaimae_annex,明大前ANNEX (アネックス),明大前
tokyo_setagaya_meidaimae_aroma_woo,Aroma Woo (アロマウー),明大前
tokyo_setagaya_meidaimae_queens_collection,QUEEN'S COLLECTION 明大前ルーム,明大前
tokyo_setagaya_meidaimae_reve_spa,REVE SPA (レーヴスパ),明大前
tokyo_setagaya_sakurashinmachi_tokyo_esthe_club,東京えすてクラブ,桜新町
tokyo_setagaya_sangenjaya_authority,AUTHORITY (オーソリティ),三軒茶屋
tokyo_setagaya_sangenjaya_bqins,B-QINS (ビークインズ),三軒茶屋
60203,LINDA SPA (三軒茶屋店),三軒茶屋
tokyo_setagaya_sangenjaya_nanashi_spa,名無しスパ (旧ラリマスパ),三軒茶屋
tokyo_setagaya_sangenjaya_sancha_bijin,三茶美人,三軒茶屋
tokyo_setagaya_shimokitazawa_eren,EREN (エレン),下北沢
60201,Eren (下北沢ルーム),下北沢
tokyo_setagaya_shimokitazawa_jd_spa,JDスパ (女子大生エステ) 下北沢,下北沢
60202,UraSanEsu (下北沢店),下北沢
60205,Eren (祖師谷大蔵ルーム),祖師ヶ谷大蔵
tokyo_setagaya_soshigaya_okura_winning_heaven,WINNING HEAVEN (ウイニングヘブン),祖師ヶ谷大蔵
60327,ANAICHI (アナイチ),恵比寿
60352,AQUA (アクア) 中目黒,恵比寿
60351,Aroma Blanca (アロマブランカ),恵比寿
60341,Aroma Blossom (恵比寿店),恵比寿
60357,AROMA EMERALD (アロマエメラルド),恵比寿
60334,Aroma Miely (アロマミエリー),恵比寿
60343,AROMA TIAMO (アロマティアモ),恵比寿
60345,BELLA SPA (ベラスパ),恵比寿
60358,Belle É (ベルエ),恵比寿
60347,Belle Lily (ベルリリィ),恵比寿
60331,Candy Spa (キャンディスパ),恵比寿
60353,GRANMATOM (グランマトム),恵比寿
60336,神のエステ,恵比寿
60338,LINDA SPA (恵比寿店),恵比寿
60360,Love it (ラヴィット),恵比寿
60361,MINERVA (ミネルバ),恵比寿
60350,MoMo Spa (モモスパ),恵比寿
60339,ムーブプラス,恵比寿
60349,NAOMI SPA (ナオミスパ),恵比寿
60354,ポセイドン,恵比寿
60340,天界のスパ 中目黒,恵比寿
60329,THE HALF (ザ・ハーフ),恵比寿
60342,Vicca+plus. (ヴィッカプラス),恵比寿
60364,SPA Real (スパレアル),渋谷
60319,Poonys (プーニーズ),代々木・原宿
tokyo_shibuya_yoyogi_harajuku_a5spa,A5 SPA (エーゴスパ),代々木・原宿
60324,Chocolate (代々木ルーム),代々木・原宿
60321,Aroma Levante (代々木ルーム),代々木・原宿
60309,Gloria (グロリア),代々木・原宿,原宿
60318,極楽エステ,代々木・原宿,原宿
tokyo_shibuya_yoyogi_harajuku_kaminoesthe,Kamino Esthe (渋谷店),代々木・原宿
60307,LugarTOKYO (代々木店),代々木・原宿,原宿
60320,NATURAL (代々木店),代々木・原宿
60306,温故知新 (旧ユアタイム),代々木・原宿,原宿
60313,六本木メンズエステ,代々木・原宿,原宿
60316,Silk (シルク),代々木・原宿,原宿
60315,Spa Ytree (ワイツリー),代々木・原宿,原宿
60308,Sugar Spa (シュガースパ),代々木・原宿,原宿
60322,UraSanEsu (ウラサネス),代々木・原宿,原宿
tokyo_shinagawa_gotanda_a5spa,A5 SPA (エーゴスパ),五反田
tokyo_shinagawa_gotanda_aroma_rejina,Aroma Rejina (アロマレジーナ) 五反田,五反田
tokyo_shinagawa_gotanda_kami_no_esthe,神のエステ,五反田
60242,LugarTOKYO (五反田店),五反田
tokyo_shinagawa_gotanda_lunabelle,Aroma Lunabelle (五反田店),五反田
tokyo_shinagawa_gotanda_relax,RELAX (リラックス),五反田
tokyo_shinagawa_gotanda_yuru_spa,ゆるスパ 五反田店,五反田
60236,Esthe Spa (エステスパ),目黒
60235,LINDA SPA (目黒店),目黒
tokyo_shinagawa_oimachi_gokujou,GOKUJOU 極嬢,大井町
tokyo_shinagawa_oimachi_showa_refresh,昭和リフレッシュ館,大井町
60237,Aroma Blossom (大崎店),大崎
tokyo_shinagawa_shinagawa_kami_no_esthe,神のエステ,品川
60269,NATURAL (神楽坂店),神楽坂
tokyo_shinjuku_okubo_elteras,ELTERAS TOKYO (エルテラス),大久保
tokyo_shinjuku_shinjuku_a5spa,A5 SPA (エーゴスパ),新宿
tokyo_shinjuku_shinjuku_aroma_laluna,Aroma LaLuna (アロマラルーナ),新宿
tokyo_shinjuku_shinjuku_first,First (ファースト) 新宿店,新宿
60284,LugarTOKYO (新宿店),新宿
tokyo_shinjuku_shinjuku_lunabelle,Aroma Lunabelle (新宿店),新宿
tokyo_shinjuku_shinjuku_natural_organic_spa,Natural Organic Spa (ナチュラルオーガニックスパ),新宿
tokyo_shinjuku_shinjuku_queens_collection,QUEEN'S COLLECTION 新宿ルーム,新宿
60254,Aroma Levante (新宿ルーム),新宿御苑
60255,Chocolate (新宿ルーム),新宿御苑
60251,NATURAL (新宿御苑店),新宿御苑
60252,Tokyo Panic (トウキョウパニック),新宿御苑
tokyo_shinjuku_shinjuku_sanchome_queens_collection,QUEEN'S COLLECTION 新宿三丁目ルーム,新宿三丁目
60249,Chocolate (新大久保ルーム),
60250,NATURAL (新大久保店),
tokyo_shinjuku_takadanobaba_chat_noir,Chat noir (シャノワール),高田馬場
tokyo_shinjuku_yotsuya_e_komachi,E小町 (いいこまち),四谷
tokyo_shinjuku_yotsuya_sanchome_e_komachi,四ツ谷メンズエステ E小町 四谷三丁目店,四谷三丁目
tokyo_suginami_koenji_spa_flame,スパフレイム (Spa Flame),高円寺
tokyo_suginami_ogikubo_a-laise,a laise,荻窪
tokyo_suginami_ogikubo_aroma_charmant,Aroma charmant (アロマシャルマント),荻窪
tokyo_suginami_ogikubo_crest_spa_tokyo,CREST SPA TOKYO (クレストスパ),荻窪
tokyo_suginami_ogikubo_mens_esthe_jj,メンズエステJJ,荻窪
tokyo_suginami_ogikubo_yorimichi,よりみち (Yorimichi) (旧いごこち),荻窪
tokyo_sumida_kinshicho_aroma_cura,Aroma Cura (アロマクラ),錦糸町
tokyo_sumida_kinshicho_kaminoesthe_kinshicho,神のエステ 錦糸町・亀戸店,錦糸町
tokyo_sumida_kinshicho_wife_collection,ワイフコレクション,錦糸町
tokyo_sumida_ryougoku_otonaspa_kutsurogi,大人スパ くつろぎ 両国,両国
tokyo_tachikawa_crest_spa_tokyo,CREST SPA TOKYO (クレストスパ),立川市
tokyo_tachikawa_disini,Disini (ディシニ),立川市
tokyo_tachikawa_morganite,MORGANITE (モルガナイト),立川市
tokyo_tachikawa_rabbit_spa,ラビットスパ (Rabbit Spa) 立川店,立川市
tokyo_tachikawa_tachikawa_gladol-spa,ぐらどるスパ,立川
tokyo_taito_asakusabashi_assouplir,Assouplir (アスプリー浅草橋店),浅草橋
tokyo_taito_asakusabashi_weal,Weal (ウィール浅草橋店),浅草橋
tokyo_taito_ueno_aroma_rejina,Aroma Rejina (アロマレジーナ) 上野,上野
tokyo_taito_ueno_iyashinokuukan_annex,癒しの空間 Annex,上野
tokyo_taito_ueno_tokyo-luxury,東京ラグジュアリー（旧ビジョスパ）,上野
tokyo_taito_ueno_ueno_luxury,Ueno Luxury (上野ラグジュアリー),上野
tokyo_tama_seisekisakuragaoka_trendy_spa,TRENDY SPA (聖蹟桜ヶ丘店),聖蹟桜ヶ丘
tokyo_tama_tamacenter_trendy_spa,TRENDY SPA (多摩センター店),多摩センター
tokyo_toshima_ikebukuro_anemone,Anemone (アネモネ),池袋
tokyo_toshima_ikebukuro_aroma_resort,アロマリゾート (旧昭和倶楽部),池袋
tokyo_toshima_ikebukuro_b_sera_kiwami,美・セラ極～KIWAMI～,池袋
tokyo_toshima_ikebukuro_eternal,Eternal (エターナル) 池袋,池袋
tokyo_toshima_ikebukuro_fever,,池袋
tokyo_toshima_ikebukuro_le_reve_ck,ルレーヴ (Le Reve CK),池袋
tokyo_toshima_ikebukuro_mens_pastime_ikebukuro,メンズパスタイム（旧アルパカの想い）,池袋
tokyo_toshima_ikebukuro_muchimuchi_onesan,むちむちお姉さん,池袋
60303,NATURAL (池袋店),池袋
tokyo_toshima_ikebukuro_otonatic,OTONA TIC (オトナチック),池袋
tokyo_toshima_ikebukuro_otonazyoshi,おとな女子,池袋
tokyo_toshima_ikebukuro_tokyo-fairy-land,東京フェアリーランド,池袋
60298,Tokyo Fairy Land (東京フェアリーランド),池袋
tokyo_toshima_otsuka_amaryllis,アマリリス,大塚
tokyo_toshima_otsuka_otsuka_mg,大塚メンズエステMG,大塚
tokyo_toshima_sugamo_ulrare_sugamo,ウルレア巣鴨（旧リベア）,巣鴨